song,artist,total_phrase,phrase_count,lyric
modern times,al stewart,60,0,Hello old friend, what a strange coincidence to find you
modern times,al stewart,60,1,It's been fifteen years since we last met, but I still recognised you
modern times,al stewart,60,2,So call the barman over here, and let us fill our glasses
modern times,al stewart,60,3,And drink a toast to olden times where all our memories lie
modern times,al stewart,60,4,Where all our memories lie
modern times,al stewart,60,5,Do you remember the time we were young?
modern times,al stewart,60,6,Lowly, lowly, low
modern times,al stewart,60,7,Outside the window the frosty moonlight hung
modern times,al stewart,60,8,On the midnight snow
modern times,al stewart,60,9,So we pulled our scarves around our faces in the night
modern times,al stewart,60,10,Huddled on the doorsteps where the fairylights shone bright
modern times,al stewart,60,11,Singing Christmas carols while our breath hung in the light
modern times,al stewart,60,12,It all comes back like yesterday
modern times,al stewart,60,13,It almost seems like yesterday
modern times,al stewart,60,14,Do you remember the changes as we grew?
modern times,al stewart,60,15,Slowly, slowly, slow
modern times,al stewart,60,16,Sneaking in the back way into movies after school
modern times,al stewart,60,17,For the evening show
modern times,al stewart,60,18,Chasing skinny blue jean girls across the building-site
modern times,al stewart,60,19,Checking out the dance floor while the band played "Hold Me Tight"
modern times,al stewart,60,20,See the blonde one over there: I bet she'd be alright
modern times,al stewart,60,21,It all comes back like yesterday
modern times,al stewart,60,22,It almost seems like yesterday
modern times,al stewart,60,23,While I talked he sat and he never made a sound
modern times,al stewart,60,24,Staring at the glass beside me
modern times,al stewart,60,25,Hey old friend, tell me what's on your mind?
modern times,al stewart,60,26,Silence grows on you like ivy
modern times,al stewart,60,27,Ivy
modern times,al stewart,60,28,Do you remember the church across the sands?
modern times,al stewart,60,29,Holy, holy, ho
modern times,al stewart,60,30,You stood outside and planned to travel the lands
modern times,al stewart,60,31,Where the pilgrims go
modern times,al stewart,60,32,So you packed your world up inside a canvas sack
modern times,al stewart,60,33,Set off down the highway with your rings and Kerouac
modern times,al stewart,60,34,Someone said they saw you in Nepal a long time back
modern times,al stewart,60,35,Tell me why you look away
modern times,al stewart,60,36,Don't you have a word to say?
modern times,al stewart,60,37,He said, "I don't remember ... I Don't want to remember
modern times,al stewart,60,38,In fact I've heard too much already
modern times,al stewart,60,39,I don't want to think, just leave me here to drink
modern times,al stewart,60,40,Wrapped up in the warmth of New York City
modern times,al stewart,60,41,Oh, oh, it seems you just don't know
modern times,al stewart,60,42,And you just don't understand me
modern times,al stewart,60,43,I've got no use for the tricks of modern times
modern times,al stewart,60,44,They tangle all my thoughts like ivy
modern times,al stewart,60,45,Ivy"
modern times,al stewart,60,46,So I left him, and I went out to the street
modern times,al stewart,60,47,Lowly, lowly, low
modern times,al stewart,60,48,Where the red light girls were coming after me
modern times,al stewart,60,49,Forty dollar show
modern times,al stewart,60,50,All across the city's heart the lights were coming on
modern times,al stewart,60,51,The hotel lift softly hummed a Cole Porter song
modern times,al stewart,60,52,If I went to look for him I knew he would be gone
modern times,al stewart,60,53,A picture-card of yesterday
modern times,al stewart,60,54,A photograph of yesterdayAnd far off in a deserted part of town
modern times,al stewart,60,55,The shadows like a silent army
modern times,al stewart,60,56,Flooded out the rooms in pools of blue and brown
modern times,al stewart,60,57,And stuck to all the walls like ivy
modern times,al stewart,60,58,Ivy
modern times,al stewart,60,59,Ivy
broadway hotel,al stewart,29,0,You told the man in the Broadway Hotel
broadway hotel,al stewart,29,1,Nothing was stranger than being yourself
broadway hotel,al stewart,29,2,And he replied, with a tear in his eye
broadway hotel,al stewart,29,3,Love was a rollaway
broadway hotel,al stewart,29,4,Just a cajole away
broadway hotel,al stewart,29,5,Mist on a summer's day
broadway hotel,al stewart,29,6,Nothing was clear
broadway hotel,al stewart,29,7,Love was a smile away
broadway hotel,al stewart,29,8,Just a defile away
broadway hotel,al stewart,29,9,I sought it every way
broadway hotel,al stewart,29,10,No one came near.
broadway hotel,al stewart,29,11,You asked the man for a room with a view
broadway hotel,al stewart,29,12,Nothing was said as he stared at his shoe
broadway hotel,al stewart,29,13,Then he replied as he gave you the key
broadway hotel,al stewart,29,14,Love was a rollaway
broadway hotel,al stewart,29,15,Just an unfold away
