artist,song,lyrics,url
Bob Dylan,Talkin' New York,"Rambling out of the wild west
Leaving the towns I love best
Thought I'd seen some ups and down
'Till I come into New York town
People going down to the ground
Building going up to the sky
Wintertime in New York town
The wind blowing snow around
Walk around with nowhere to go
Somebody could freeze right to the bone
I froze right to the bone
New York Times said it was the coldest winter in seventeen years
I didn't feel so cold then
I swung on to my old guitar
Grabbed hold of a subway car
And after a rocking, reeling, rolling ride
I landed up on the downtown side
Greenwich Village
I walked down there and ended up
In one of them coffee-houses on the block
Got on the stage to sing and play
Man there said, come back some other day
You sound like a hillbilly
We want folksingers here
Well, I got a harmonica job, begun to play
Blowing my lungs out for a dollar a day
I blowed inside out and upside down
The man there said he loved my sound
He was raving about he loved my sound
Dollar a day's worth
After weeks and weeks of hanging around
I finally got a job in New York town
In a bigger place, bigger money too
Even joined the union and paid my dues
Now, a very great man once said
That some people rob you with a fountain pen
It don't take too long to find out
Just what he was talking about
A lot of people don't have much food on their table
But they got a lot of forks and knives
And they gotta cut something
So one morning when the sun was warm
I rambled out of New York town
Pulled my cap down over my eyes
And heated out for the western skies
So long New York
Howdy, East Orange",https://www.youtube.com/watch?v=2rowYBDHISU,
The Ramones,53rd & 3rd,"If you think you can, well come on man
I was a Green Beret in Vietnam
No more of your fairy stories
'Cause I got my other worries
Fifty-third and third standing on the street
Fifty-third and third I'm tryin' to turn a trick
Fifty-third and third you're the one they never pick
Fifty-third and third don't it make you feel sick?
If you think you can, well come on man
I was a Green Beret in Vietnam
No more of your fairy stories
'Cause I got my other worries
Fifty-third and third standing on the street
Fifty-third and third I'm tryin' to turn a trick
Fifty-third and third you're the one they never pick
Fifty-third and third don't it make you feel sick?
Then I took out my razor blade
Then I did what God forbade
Now the cops are after me
But I proved that I'm no sissy
Fifty-third and third standing on the street
Fifty-third and third I'm tryin' to turn a trick
Fifty-third and third you're the one they never pick
Fifty-third and third don't it make you feel sick?
Fifty-third and third
Fifty-third and third
Fifty-third and third
Fifty-third and third
Fifty-third and third
Fifty-third and third
Fifty-third and third
Fifty-third and third",https://www.youtube.com/watch?v=3qcMjKxt-dE,
The Strokes,New York City Cops,"Oh!
Ha-ha, I meant ah!
No, I didn't mean that at all
Ooh-ooh
Here in the streets so mechanized
Rise to the bottom of the meaning of life
Studied all the rules and didn't want no part
But I let you in just to break this heart
Even though it was only one night, it was
Fucking strange
Nina's in the bedroom,
She said, ""time to go now""
But leavin' it ain't easy
I got to let go, oh, I got to let go
And the hours they ran slow
I said, every night, she just can't stop saying
New York City cops, New York City cops
New York City cops, but they ain't too smart
New York City cops, New York City cops
New York City cops, but they ain't too smart
Well, kill me now 'cause I let you down
I swear one day I'm gonna leave this town
Stop!
Yes, I'm leaving, 'cause it just won't work
And they act like Romans, but they dress like Turks
Some time in your prime
See me, I like the summertime but, hey
Nina's in the bedroom
She said, ""time to go now""
But leaving, it ain't easy
Oh, I got to let go, oh, I got to let go, oh
Trapped in an apartment
She would not let them get her
She wrote it in a letter
I got to come clean but the authorities they've seen
Darling, I'm somewhere in between
I said, every night, she just can't stop saying
New York City cops, New York City cops
New York City cops, but they ain't too smart
New York City cops, New York City cops
New York City cops, but they ain't too smart",https://www.youtube.com/watch?v=rOmkPrhpQGQ,
John Lennon,New York City,"Standing on the corner
Just me and Yoko Ono
We was waiting for Jerry to land
Up come a man with a guitar in his hand
Singing, ""Have a marijuana if you can""
His name was David Peel
And we found that he was real
He sang, ""The Pope smokes dope every day""
Up come a policeman shoved us up the street
Singing, ""Power to the people today!""
New York City, back in New York City, New York City
Que pasa, New York?
Que pasa, New York?
Well down to Max's Kansas City
Got down the nitty gritty
With the Elephants Memory Band
Laid something down
As the news spread around
About the Plastic Ono Elephants Memory Band!
And we played some funky boogie
And laid some tutti frutti
Singing, ""Long Tall Sally's a man.""
Up come a preacher man trying to be a teacher
Singing, ""God's a red herring in drag!""
New York City, back in New York City, New York City
Que pasa, New York?
Que pasa, New York?
New York City, back in New York City, New York City
Que pasa, New York?
Que pasa, New York?
Well we did the Staten Island Ferry
Making movies for the telly
Played the Fillmore and Apollo for freedom
Tried to shake our image
Just a cycling through the Village
But found that we had left it back in London
Well nobody came to bug us
Hustle us or shove us
So we decided to make it our home
If the Man wants to shove us out
We gonna jump and shout
The Statue of Liberty said, ""Come!""
New York City, back in New York City, New York City
Que pasa, New York?
Que pasa, New York?
New York City, back in New York City, New York City
Que pasa, New York?
Que pasa, New York?",https://www.youtube.com/watch?v=x3XCz3kfKVI,
 Simon & Garfunkel,The Only Living Boy In New York,"Tom, get your plane right on time
I know your part'll go fine
Fly down to Mexico
Do-n-do-d-do-n-do and here I am,
The only living boy in New York
I get the news I need on the weather report
I can gather all the news I need on the weather report
Hey, I've got nothing to do today but smile
Do-n-doh-d-doh-n-doh and here I am
The only living boy in New York
Half of the time we're gone
But we don't know where,
And we don't know where
Half of the time we're gone
But we don't know where,
And we don't know where
Tom, get your plane right on time
I know you've been eager to fly now
Hey let your honesty shine, shine, shine now
Do-n-do-d-do-n-do
Like it shines on me
The only living boy in New York,
The only living boy in New York",https://www.youtube.com/watch?v=5biEjyXNa2o,
 Lou Reed,Walk On The Wild Side,"Holly came from Miami F.L.A.
Hitch-hiked her way across the U.S.A.
Plucked her eyebrows on the way
Shaved her legs and then he was a she
She said, hey babe, take a walk on the wild side,
Said, hey honey, take a walk on the wild side.
Candy came from out on the island,
In the backroom she was everybody's darling,
But she never lost her head
Even when she was giving head
She sayes, hey baby, take a walk on the wild side
Said, hey babe, take a walk on the wild side
And the colored girls go,
Doo doo doo doo doo doo doo doo doo
Doo doo doo doo doo doo doo doo doo
Doo doo doo doo doo doo doo doo doo
Doo doo doo doo doo doo doo doo doo
Doo doo doo doo doo doo doo doo doo
Doo doo doo doo doo doo doo doo doo
Doo doo doo doo doo doo doo doo doo doo
Little Joe never once gave it away
Everybody had to pay and pay
A hustle here and a hustle there
New York City is the place where they said:
Hey babe, take a walk on the wild side
I said hey Joe, take a walk on the wild side
Sugar Plum Fairy came and hit the streets
Lookin' for soul food and a place to eat
Went to the Apollo
You should have seen him go, go, go
They said, hey Sugar, take a walk on the wild side
I said, hey babe, take a walk on the wild side, alright, huh
Jackie is just speeding away
Thought she was James Dean for a day
Then I guess she had to crash
Valium would have helped that bash
She said, hey babe, take a walk on the wild side
I said, hey honey, take a walk on the wild side
And the colored girls say
Doo doo doo doo doo doo doo doo doo
Doo doo doo doo doo doo doo doo doo
Doo doo doo doo doo doo doo doo doo
Doo doo doo doo doo doo doo doo doo
Doo doo doo doo doo doo doo doo doo
Doo doo doo doo doo doo doo doo doo
Doo doo doo doo doo doo doo doo doo doo",https://www.youtube.com/watch?v=0KaWSOlASWc,
Television,Venus,"It was a tight toy night, streets so bright
The world was so thin between my bones and skin
There stood another person who was a little surprised
To be face to face with a world so alive
How I fell (did you feel low?)
No (huh?)
I fell right into the arms of Venus De Milo
You know it's all like some new kind of drug
My senses are sharp and my hands are like gloves
Broadway looked so medieval
It seemed to flap, like little pages
And I fell sideways laughing
With a friend from many stages
How we felt (did you feel low?)
Not at all (huh?)
I fell right into the arms of Venus De Milo
Suddenly my eyes went so soft and shaky
I knew there was pain but pain is not aching
Then Richie, Richie said
""Hey man, let's dress up like cops, think of what we could do""
Something, something said ""you better not""
And I fell (did you feel low?)
Nah (huh?)
I stood up, walked out of the arms of Venus De Milo",https://www.youtube.com/watch?v=4f3d5ZdE4vY,
Prince,All the Critics Love U in New York,"You can dance if you want to, all the critics love you in New York
You don't have to keep the beat, they'll still think it's neat, in New York
You can wear what you want to, it doesn't matter, in New York
You could cut off all your hair, I don't think they'd care, in New York
All the critics love you in New York
Why you can play what you want to, all the critics love you in New York
They won't say that you're naive if you play what you believe, in New York
Purple love-amour is all you're headed for, but don't show it
The reason that you're cool
Is 'cause you're from the old school, and they know it
All the critics love you in New York
You can dance if you want to
All the critics love you in New York
All the critics love you
All the critics love you
All the critics love you in New York
It's time for a new direction
It's time for jazz to die
Fourth day of November
We need a purple high
Don't give up, I'll still love you
All the critics love you in New York
All the critics love you in New York
All the critics love you
All the critics love you
All the critics love you in New York
Body don't want to quit, gotta get another hit
Body don't want to quit, gotta get another hit
Body don't want to quit, gotta get another hit
Body don't want to quit, gotta get another hit
Uh-uh, yeah, yeah
(Fuck me over)
All the critics love you
All the critics love you
All the critics love you in New York
What ya lookin' at, punk?
Look out all you hippies, you ain't as sharp as me
It ain't about the trippin', but the sexuality, turn it up
You can dance if you want to
All the critics love you in New York
All the critics love you in New York
(Yes, we're certain of it, he's definitely masturbating)
All the critics love you in New York
Take a bath, hippies
All the critics love you in New York
All the critics love you in New York
All the critics love you in New York
All the critics love you in New York
New York
New York
New York
New York",https://www.youtube.com/watch?v=4_pARh4Qbyw,
Tom Waits,Downtown Train,"Outside another yellow moon
Punched a hole in the nighttime, yes
I climb through the window and down the street
I'm shining like a new dime
The downtown trains are full
With all those Brooklyn girls
They try so hard to break out of their little worlds

You wave your hand and they scatter like crows
They have nothing that will ever capture your heart
They're just thorns without the rose
Be careful of them in the dark
Oh if I was the one
You chose to be your only one
Oh baby can't you hear me now

Will I see you tonight
On a downtown train?
Every night its just the same
You leave me lonely, now

I know your window and I know it's late
I know your stairs and your doorway
I walk down your street and past your gate
I stand by the light at the four way
You watch them as they fall
They all have heart attacks
They stay at the carnival
But they'll never win you back",https://www.youtube.com/watch?v=rLtZKkCIVmI,
The Lovin's Spoonful,Summer in the City,"Hot town, summer in the city
Back of my neck getting dirty and gritty
Been down, isn't it a pity
Doesn't seem to be a shadow in the city
All around, people looking half dead
Walking on the sidewalk, hotter than a match head
But at night it's a different world
Go out and find a girl
Come-on come-on and dance all night
Despite the heat it'll be alright
And babe, don't you know it's a pity
That the days can't be like the nights
In the summer, in the city
In the summer, in the city
Cool town, evening in the city
Dressing so fine and looking so pretty
Cool cat, looking for a kitty
Gonna look in every corner of the city
Till I'm wheezing like a bus stop
Running up the stairs, gonna meet you on the rooftop
But at night it's a different world
Go out and find a girl
Come-on come-on and dance all night
Despite the heat it'll be alright
And babe, don't you know it's a pity
That the days can't be like the nights
In the summer, in the city
In the summer, in the city
Hot town, summer in the city
Back of my neck getting dirty and gritty
Been down, isn't it a pity
Doesn't seem to be a shadow in the city
All around, people looking half dead
Walking on the sidewalk, hotter than a match head
But at night it's a different world
Go out and find a girl
Come-on come-on and dance all night
Despite the heat it'll be alright
And babe, don't you know it's a pity
That the days can't be like the nights
In the summer, in the city
In the summer, in the city",https://www.youtube.com/watch?v=U5bUmx-hk-c,
